,reward,num_moves,num_completed_suits,seed
197,168.0,140.0,1.0,197
198,233.0,123.0,1.0,198
199,24.0,124.0,0.0,199
200,52.0,106.0,0.0,200
201,24.0,110.0,0.0,201
202,35.0,109.0,0.0,202
203,135.0,131.0,0.0,203
204,-3.0,101.0,0.0,204
205,56.0,108.0,0.0,205
206,75.0,111.0,0.0,206
207,67.0,123.0,0.0,207
208,101.0,113.0,0.0,208
209,129.0,115.0,0.0,209
210,67.0,117.0,0.0,210
211,63.0,136.0,0.0,211
212,-29.0,105.0,0.0,212
213,85.0,123.0,0.0,213
214,31.0,121.0,0.0,214
215,257.0,149.0,1.0,215
216,1.0,101.0,0.0,216
217,102.0,120.0,0.0,217
218,295.0,149.0,2.0,218
219,-25.0,91.0,0.0,219
220,-51.0,105.0,0.0,220
221,20.0,124.0,0.0,221
222,111.0,123.0,1.0,222
223,473.0,181.0,5.0,223
224,169.0,135.0,1.0,224
225,34.0,116.0,0.0,225
226,298.0,134.0,2.0,226
227,50.0,106.0,0.0,227
228,77.0,115.0,0.0,228
229,97.0,117.0,0.0,229
230,229.0,121.0,1.0,230
231,203.0,143.0,1.0,231
232,-11.0,99.0,0.0,232
233,52.0,116.0,0.0,233
234,128.0,136.0,0.0,234
235,44.0,110.0,0.0,235
236,-5.0,111.0,0.0,236
237,6.0,104.0,0.0,237
238,216.0,130.0,1.0,238
239,-8.0,124.0,0.0,239
240,211.0,125.0,1.0,240
241,390.0,161.0,3.0,241
242,14.0,112.0,0.0,242
243,254.0,142.0,1.0,243
244,19.0,105.0,0.0,244
245,33.0,109.0,0.0,245
246,-11.0,93.0,0.0,246
247,244.0,132.0,1.0,247
248,70.0,120.0,1.0,248
249,5.0,107.0,0.0,249
250,96.0,118.0,0.0,250
251,114.0,130.0,0.0,251
252,25.0,111.0,0.0,252
253,110.0,126.0,0.0,253
254,-22.0,98.0,0.0,254
255,242.0,158.0,1.0,255
256,355.0,169.0,3.0,256
257,118.0,118.0,0.0,257
258,157.0,133.0,1.0,258
259,16.0,104.0,0.0,259
260,-31.0,111.0,0.0,260
261,164.0,126.0,1.0,261
262,19.0,105.0,0.0,262
263,26.0,114.0,0.0,263
264,32.0,104.0,0.0,264
265,31.0,111.0,0.0,265
266,83.0,123.0,0.0,266
267,114.0,127.0,1.0,267
268,94.0,122.0,0.0,268
269,-45.0,103.0,0.0,269
270,72.0,152.0,0.0,270
271,98.0,128.0,0.0,271
272,160.0,139.0,0.0,272
273,264.0,152.0,2.0,273
274,15.0,119.0,0.0,274
275,85.0,131.0,0.0,275
276,163.0,131.0,0.0,276
277,363.0,169.0,3.0,277
278,63.0,117.0,0.0,278
279,171.0,113.0,1.0,279
280,155.0,139.0,1.0,280
281,80.0,112.0,0.0,281
282,65.0,115.0,0.0,282
283,28.0,116.0,0.0,283
284,250.0,142.0,1.0,284
285,41.0,111.0,0.0,285
286,184.0,158.0,1.0,286
287,164.0,135.0,0.0,287
288,64.0,122.0,0.0,288
289,109.0,103.0,1.0,289
290,-27.0,99.0,0.0,290
291,76.0,120.0,0.0,291
292,-38.0,86.0,0.0,292
293,38.0,104.0,0.0,293
294,98.0,136.0,1.0,294
295,8.0,104.0,0.0,295
296,270.0,144.0,1.0,296
297,73.0,125.0,0.0,297
298,396.0,160.0,3.0,298
299,175.0,141.0,1.0,299
300,54.0,102.0,0.0,300
301,107.0,115.0,0.0,301
302,258.0,161.0,2.0,302
303,397.0,145.0,2.0,303
304,298.0,158.0,2.0,304
305,-11.0,105.0,0.0,305
306,7.0,149.0,0.0,306
307,37.0,107.0,0.0,307
308,418.0,164.0,3.0,308
309,18.0,104.0,0.0,309
310,44.0,120.0,0.0,310
311,-54.0,94.0,0.0,311
312,218.0,130.0,1.0,312
313,-13.0,101.0,0.0,313
314,110.0,126.0,0.0,314
315,325.0,147.0,2.0,315
316,125.0,129.0,0.0,316
317,20.0,102.0,0.0,317
318,246.0,150.0,2.0,318
319,383.0,159.0,2.0,319
320,363.0,145.0,2.0,320
321,73.0,144.0,0.0,321
322,263.0,125.0,1.0,322
323,79.0,137.0,0.0,323
324,44.0,110.0,0.0,324
325,74.0,130.0,0.0,325
326,40.0,106.0,0.0,326
327,-23.0,107.0,0.0,327
328,506.0,189.0,5.0,328
329,91.0,121.0,0.0,329
330,84.0,118.0,0.0,330
331,-3.0,103.0,0.0,331
332,94.0,132.0,1.0,332
333,-47.0,93.0,0.0,333
334,317.0,153.0,2.0,334
335,120.0,124.0,0.0,335
336,-31.0,103.0,0.0,336
337,19.0,113.0,0.0,337
338,90.0,136.0,0.0,338
339,223.0,151.0,1.0,339
340,-26.0,94.0,0.0,340
341,54.0,110.0,0.0,341
342,130.0,144.0,1.0,342
343,33.0,113.0,0.0,343
344,-41.0,95.0,0.0,344
345,-13.0,97.0,0.0,345
346,265.0,161.0,2.0,346
347,119.0,119.0,0.0,347
348,95.0,133.0,1.0,348
349,223.0,141.0,2.0,349
350,31.0,113.0,0.0,350
351,139.0,137.0,1.0,351
352,198.0,126.0,1.0,352
353,111.0,123.0,0.0,353
354,6.0,102.0,0.0,354
355,193.0,131.0,1.0,355
356,67.0,117.0,0.0,356
357,141.0,123.0,1.0,357
358,96.0,114.0,0.0,358
359,186.0,134.0,1.0,359
360,296.0,134.0,2.0,360
361,68.0,112.0,0.0,361
362,81.0,111.0,0.0,362
363,-44.0,96.0,0.0,363
364,112.0,122.0,0.0,364
365,-42.0,90.0,0.0,365
366,105.0,119.0,1.0,366
367,-15.0,115.0,0.0,367
368,-3.0,107.0,0.0,368
369,356.0,160.0,2.0,369
370,7.0,109.0,0.0,370
371,3.0,113.0,0.0,371
372,57.0,105.0,0.0,372
373,179.0,131.0,1.0,373
374,81.0,123.0,0.0,374
375,176.0,122.0,1.0,375
376,129.0,123.0,0.0,376
377,169.0,115.0,1.0,377
378,13.0,105.0,0.0,378
379,393.0,149.0,2.0,379
380,222.0,134.0,1.0,380
381,377.0,163.0,2.0,381
382,-6.0,106.0,0.0,382
383,52.0,120.0,0.0,383
384,-23.0,99.0,0.0,384
385,105.0,125.0,0.0,385
386,-23.0,105.0,0.0,386
387,-16.0,102.0,0.0,387
388,82.0,120.0,0.0,388
389,2.0,104.0,0.0,389
390,-26.0,110.0,0.0,390
391,41.0,103.0,0.0,391
392,224.0,124.0,1.0,392
393,154.0,132.0,0.0,393
394,84.0,104.0,0.0,394
395,43.0,113.0,0.0,395
396,94.0,114.0,0.0,396
397,87.0,129.0,0.0,397
398,316.0,150.0,1.0,398
399,12.0,104.0,0.0,399
400,9.0,113.0,0.0,400
401,36.0,114.0,0.0,401
402,120.0,114.0,0.0,402
403,19.0,101.0,0.0,403
404,61.0,121.0,0.0,404
405,-5.0,107.0,0.0,405
406,158.0,148.0,1.0,406
407,313.0,125.0,2.0,407
408,18.0,126.0,0.0,408
409,147.0,135.0,1.0,409
410,50.0,116.0,0.0,410
411,87.0,123.0,0.0,411
412,147.0,119.0,0.0,412
413,88.0,110.0,0.0,413
414,62.0,116.0,0.0,414
415,50.0,114.0,0.0,415
416,262.0,155.0,2.0,416
417,195.0,157.0,2.0,417
418,314.0,142.0,1.0,418
419,5.0,113.0,0.0,419
420,26.0,110.0,0.0,420
421,135.0,145.0,1.0,421
422,250.0,154.0,2.0,422
423,126.0,128.0,1.0,423
424,7.0,99.0,0.0,424
425,185.0,157.0,1.0,425
426,2.0,110.0,0.0,426
427,279.0,145.0,1.0,427
428,0.0,106.0,0.0,428
429,269.0,157.0,2.0,429
430,213.0,154.0,2.0,430
431,134.0,120.0,0.0,431
432,102.0,128.0,1.0,432
433,245.0,164.0,2.0,433
434,34.0,114.0,0.0,434
435,2.0,104.0,0.0,435
436,-5.0,97.0,0.0,436
437,199.0,119.0,1.0,437
438,250.0,142.0,1.0,438
439,230.0,142.0,1.0,439
440,-26.0,104.0,0.0,440
441,106.0,120.0,0.0,441
442,78.0,124.0,0.0,442
443,407.0,160.0,3.0,443
444,113.0,115.0,0.0,444
445,109.0,145.0,0.0,445
446,269.0,151.0,2.0,446
447,462.0,195.0,4.0,447
448,140.0,122.0,1.0,448
449,-18.0,102.0,0.0,449
450,255.0,157.0,3.0,450
